candidate_id,estate,source_id,node_type,title,document_or_part,paragraph_or_rule,url,matched_amounts,rule_based_reason,snippet
cand-00354,rule,d6dbf79e57aa9f52,rule,Article 414(3),Liquidity (CRR),3,https://www.prarulebook.co.uk/pra-rules/liquidity-crr/01-06-2026#f6461b59a9aa41dba8b9da2685d4ac38,GBP 5 billion,Monetary amount appears with threshold/trigger language.,"An institution with total assets : (a) equal to or greater than GBP 5 billion on an individual basis or consolidated basis must be capable at all times of reporting to the competent authority at a daily frequency by the end of the business day all of the following templates: (i) (unless it is an SDDT or an SDDT consolidation entity ) Annex XVIII Template C 70 as specified in the Reporting (CRR) Part of the PRA Rulebook; (ii) Annex XXIV Templates C 72, C 73, C 74, C 75 and C 76 as specified in the Reporting (CRR) Part of the PRA Rulebook; and (iii) data item PRA 110 as specified in the Regulatory Reporting Part ; (b) of less than GBP 5 billion on an individual basis or consolidated basis must"
cand-00355,rule,d6dbf79e57aa9f52,rule,Article 414(3),Liquidity (CRR),3,https://www.prarulebook.co.uk/pra-rules/liquidity-crr/01-06-2026#f6461b59a9aa41dba8b9da2685d4ac38,GBP 5 billion,Monetary amount appears with threshold/trigger language.,ry Reporting Part ; (b) of less than GBP 5 billion on an individual basis or consolidated basis must be capable at all times of reporting to the competent authority data item PRA 110 as specified in the Regulatory Reporting Part at a weekly frequency by the end of the business day . [Note: This rule corresponds to Article 414 of the CRR as it applied immediately before revocation by the Treasury .]
cand-00356,rule,25fb0f85bbc6cde7,rule,Article 416(5),Liquidity (CRR),5,https://www.prarulebook.co.uk/pra-rules/liquidity-crr/01-06-2026#b86bf8ad70f04b91bb63395e9ce31285,GBP 440 m,Monetary amount appears with threshold/trigger language.,"Shares or units in CIUs may be treated as liquid assets, up to an absolute amount of GBP 440 million or the equivalent amount in domestic currency, in the portfolio of liquid assets of each institution, provided that the requirements laid down in Article 132(3) are met and that the CIU only invests in liquid assets as referred to in paragraph 1 of this Article, apart from derivatives to mitigate interest rate or credit or currency risk."
cand-00357,rule,39f3d6f3b8471f15,rule,Article 428(1),Liquidity (CRR),1,https://www.prarulebook.co.uk/pra-rules/liquidity-crr/01-06-2026#3227b9d14f1f435d8f43b5895996ba31,"GBP 880,000",Monetary amount appears with threshold/trigger language.,"ange; (d) other equity securities; (e) gold; (f) other precious metals; (g) non-renewable loans and receivables, and separately those non-renewable loans and receivables for which borrowers are: (i) natural persons other than commercial sole proprietors and partnerships ; (ii) SMEs that qualify for the retail exposure class under the Standardised or IRB approaches for credit risk or to a company which is eligible for the treatment set out in Article 153(4) and where the aggregate deposit placed by that client or group of connected clients is less than GBP 880,000; (iii) sovereigns, central banks and public sector entities; (iv) clients not referred to in points (i) and (ii) other than financ"
cand-00348,rule,e45237866ae22ec3,rule,Article 11(1),Liquidity Coverage Ratio (CRR),1,https://www.prarulebook.co.uk/pra-rules/liquidity-coverage-ratio-crr/01-06-2026#3fd347e63be649c0b767e7e561b56e84,GBP 440 m; GBP 220 m,Monetary amount appears with threshold/trigger language.,"However, where the issue size of the covered bonds is GBP 440 million (or the equivalent amount in domestic currency) or higher, they shall instead be subject to a minimum asset coverage requirement of 2%; (e) corporate debt securities which meet all of the following requirements: (i) they are assigned a credit assessment by a nominated ECAI which is at least credit quality step 1 in accordance with Article 122 of CRR or the equivalent credit quality step in the event of a short term credit assessment; (ii) the securities issue size is at least GBP 220 million (or the equivalent in domestic currency); (iii) the maximum time to maturity of the securities at the time of issuance is 10 years."
cand-00349,rule,06a21c9a6b025950,rule,Article 12(1),Liquidity Coverage Ratio (CRR),1,https://www.prarulebook.co.uk/pra-rules/liquidity-coverage-ratio-crr/01-06-2026#a8221885652442839fdd1c0cc7e0df36,GBP 220 m,Monetary amount appears with threshold/trigger language.,"Level 2B assets shall only include assets falling under one or more of the following categories and meeting in each case the eligibility criteria laid down herein: (a) exposures in the form of asset-backed securities meeting the requirements laid down in Article 13; (b) corporate debt securities which meet all of the following requirements: (i) they have received a credit assessment by a nominated ECAI which is at least credit quality step 3 in accordance with Article 122 of CRR or the equivalent credit quality step in the event of a short term credit assessment; (ii) the securities issue size is at least GBP 220 million (or the equivalent in domestic currency); (iii) the maximum time to maturity of the securities at the time of issuance is 10 years; (c) shares, provided that they meet all of the following requirements: (i) they form part of the Financial Times Stock Exchange 100 (FTSE 100) in the United Kingdom or a major stock index of a third country composed of leading companies in the relevant jurisdiction; (ii) they are denominated in pounds Sterling or, where denominated in a different currency, they count as level 2B only up to the amount to cover stressed net liquidity out"
cand-00350,rule,06a21c9a6b025950,rule,Article 12(1),Liquidity Coverage Ratio (CRR),1,https://www.prarulebook.co.uk/pra-rules/liquidity-coverage-ratio-crr/01-06-2026#a8221885652442839fdd1c0cc7e0df36,GBP 220 m,Monetary amount appears with threshold/trigger language.,"This requirement shall be deemed met where the level of decline in the share's stock price or increase in its haircut during a 30 day calendar day market stress period did not exceed 40% or 40 percentage points, respectively; (d) restricted-use committed liquidity facilities that may be provided by the Bank of England or the central bank of a third country , provided that the requirements laid down in Article 14 are met; (e) exposures in the form of high quality covered bonds which shall comply with all of the following requirements: (i) they are CRR covered bonds or meet the requirements to be eligible for the treatment set out in Article 129(4) or (5) of the CRR ; (ii) the credit institution investing in the covered bonds meets the transparency requirement laid down in Article 129(7) of the CRR ; (iii) the issuer of the covered bonds makes the information referred to in Article 129(7)(a) of the CRR available to investors on at least a quarterly basis; (iv) their issue size is at least GBP 220 million (or the equivalent amount in domestic currency); (v) the covered bonds are collateralised exclusively by the assets referred to in points (a) and (d)(i) of Article 129(1) of the CRR "
cand-00351,rule,afdf5046da7871f4,rule,Article 13(11),Liquidity Coverage Ratio (CRR),11,https://www.prarulebook.co.uk/pra-rules/liquidity-coverage-ratio-crr/01-06-2026#4e8d63f62b2c475fb9dbac786638d7fc,GBP 88 m,Monetary amount appears with threshold/trigger language.,The issue size of the tranche shall be at least GBP 88 million (or the equivalent amount in domestic currency).
cand-00352,rule,cdf344d89fddc575,rule,Article 15(1),Liquidity Coverage Ratio (CRR),1,https://www.prarulebook.co.uk/pra-rules/liquidity-coverage-ratio-crr/01-06-2026#735aafcfdaf9410285010b2bf8c28d1f,GBP 440 m,Monetary amount appears with threshold/trigger language.,"Shares or units in CIUs shall qualify as liquid assets of the same level as the liquid assets underlying the relevant undertaking up to an absolute amount of GBP 440 million (or equivalent amount in domestic currency) for each credit institution on an individual basis, provided that: (a) the requirements in Article 132(3) of CRR are complied with; (b) the CIU invests only in liquid assets and derivatives, in the latter case only to the extent necessary to mitigate interest rate, currency or credit risk in the portfolio."
cand-00353,rule,d4fec5ed57a33d6d,rule,Article 25(2),Liquidity Coverage Ratio (CRR),2,https://www.prarulebook.co.uk/pra-rules/liquidity-coverage-ratio-crr/01-06-2026#6708ca264c62445e966ccec3a7e0d301,"GBP 440,000",Monetary amount appears with threshold/trigger language.,"Other retail deposits shall be subject to higher outflow rates, as determined by the credit institution, in accordance with paragraph 3 , where the following conditions are met: (a) the total deposit balance, including all the client's deposit accounts at that credit institution or group, exceeds GBP 440,000; (b) the deposit is an internet access-only account; (c) the deposit offers an interest rate that fulfils any of the following conditions: (i) the rate significantly exceeds the average rate for similar retail products; (ii) its return is derived from the return on a market index or set of indices; (iii) its return is derived from any market variable other than a floating interest rate; (d) the deposit was originally placed as fixed-term with an expiry date maturing within the 30 calendar day period or the deposit presents a fixed notice period shorter than 30 calendar days, in accordance with contractual arrangements, other than those deposits that qualify for the treatment provided for in paragraph 4 ; (e) for credit institutions established in the United Kingdom , the depositor is resident in a third country or the deposit is denominated in a currency other than pounds Sterl"
