candidate_id,estate,source_id,node_type,title,document_or_part,paragraph_or_rule,url,matched_amounts,rule_based_reason,snippet,is_threshold,inflation_index_candidate,threshold_amounts,threshold_type,confidence,llm_rationale
cand-00030,ss,054674709234cabe,guidance_document,SS2/17 – Remuneration,,,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss02-17---remuneration/01-06-2026,"£660,000",Monetary amount appears with threshold/trigger language.,"3.14 The PRA does not consider it necessary for the rules specified in sub-paragraphs 3.11(ii) and (iii) to be applied when the variable remuneration of the MRT is no more than 33% of the employee’s total remuneration (Condition 1), and total remuneration is no more than £660,000 (Condition 2).11 3.15 Table E provides some examples of how paragraphs 3.12 and 3.13 should be applied.",true,true,"£660,000",permission_or_exemption_condition,high,Total remuneration cap is Condition 2 for disapplying specified remuneration rules.
cand-00031,ss,054674709234cabe,guidance_document,SS2/17 – Remuneration,,,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss02-17---remuneration/01-06-2026,"£130,000; £83,562; £250,000 m; £43,452; £130,000 m; £127,014",Monetary amount appears with threshold/trigger language.,"MRT role (3) During the performance year, Individual A is awarded variable remuneration of £130,000. (4) The proportion of fixed remuneration which should be used for calculating whether Individual A meets the criterion in Condition 2 is £83,562 (£250,000 multiplied by 122/365) (5) The proportion of variable remuneration which should be used for calculating whether Individual A meets the criterion in Condition 1 is £43,452 (£130,000 multiplied by 122/365). (6) The total remuneration for the period of time spent in an MRT role is £127,014. (£43,452 plus £83,562). (7) Condition 1 states that the individual’s variable remuneration is no more than 33% of their total remuneration.",false,false,,not_a_threshold,high,"Amounts are worked-example remuneration calculations, not fixed monetary cut-offs."
cand-00032,ss,054674709234cabe,guidance_document,SS2/17 – Remuneration,,,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss02-17---remuneration/01-06-2026,"£550,000; £80,000; £277,260; £550,000 m; £357,260",Monetary amount appears with threshold/trigger language.,"2 New hire (1) Individual B joins the firm as an MRT with effect from 1 July, 184 days out of 365 into an MRT are spent in an MRT role. role (2) Individual B receives annual fixed remuneration of £550,000. (3) For the period of time spent in role during the performance year, Individual B is awarded variable remuneration of £80,000. (4) The proportion of fixed remuneration which should be used for calculating whether Individual B meets the criterion in Condition 2 is £277,260 (£550,000 multiplied by 184/365). (5) The full amount of variable remuneration (£80,000) should be used for calculating whether Individual B meets the criterion in condition 1. (6) The total remuneration for the period of time spent in an MRT role is £357,260. (£277,260 plus £80,000). (7) Condition 1 states that the individual’s variable remuneration is no more than 33% of their total remuneration.",false,false,,not_a_threshold,high,"Amounts are worked-example pay and prorated calculations, not regulatory thresholds."
cand-00033,ss,054674709234cabe,guidance_document,SS2/17 – Remuneration,,,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss02-17---remuneration/01-06-2026,"£80,000",Monetary amount needs LLM review to distinguish threshold from ordinary mention.,"This condition is not met. (9) As condition 2 has not been met, the rules in paragraph 3.11 must be applied to the variable remuneration of £80,000 for the period of time spent in an MRT role during the performance year.",false,false,,not_a_threshold,high,"£80,000 is variable remuneration in an example after applying another condition."
cand-00034,ss,054674709234cabe,guidance_document,SS2/17 – Remuneration,,,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss02-17---remuneration/01-06-2026,"£660,000",Monetary amount appears with threshold/trigger language.,"Table G: Minimum deferral and clawback rules applicable to MRTs MRT category MRT MRT below proportionality threshold (Total remuneration >£660,000 or variable (Total remuneration ≤£660,000 and variable remuneration >33% of total remuneration, remuneration ≤33% of total remuneration, Remuneration 15.A1(3)) Remuneration 15.A1(3)) Minimum Deferral Minimum Clawback Minimum Deferral Minimum Clawback (years) (years) (years) (years) MRT who performs a 4 (Remuneration 71 (Remuneration 52 (Remuneration PRA senior 15.17(2)) 15.20A(1) and (2)) N/A 15.20(3A)(b)) management function (SMF) Other MRTs 4 (Remuneration 7 (Remuneration N/A 52 (Remuneration 15.17(2)) 15.20A(1)) 15.20(3A)(b)) 1 Extendable to 10 years in line with Remuneration 15.20A(2).",true,true,"£660,000",permission_or_exemption_condition,high,Amount defines the MRT proportionality threshold in the table.
cand-00035,ss,054674709234cabe,guidance_document,SS2/17 – Remuneration,,,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss02-17---remuneration/01-06-2026,"£660,000",Monetary amount appears with threshold/trigger language.,"Remuneration October 2025 18 4A Material Risk Takers, conversion of unvested instruments and public appointments 4A.1 The PRA’s rules require that a firm must ensure that a substantial portion (at least 50%) of any variable remuneration payable to a MRT consists of an appropriate balance of: (i) shares or, subject to the legal structure of the firm concerned, equivalent ownership interests; or subject to the legal structure of the firm concerned, share-linked instruments or equivalent non-cash instruments; and (ii) where possible, other instruments which are eligible as Additional Tier 1 instruments or are eligible as Tier 2 instruments or other instruments that can be fully converted to Common Equity Tier 1 instruments or written down, that in each case adequately reflect the credit quality of the firm as a going concern and are appropriate for use as variable remuneration.13 4A.2 Additionally, there is a requirement that a firm must not award variable remuneration unless a substantial portion of it (at least 40% of the first £660,000 and 60% of any amount in excess of £660,000) is deferred, for a period of at least four years.",true,true,"£660,000",other_threshold,high,Amount separates variable remuneration deferral rates of 40% and 60%.
cand-00036,ss,054674709234cabe,guidance_document,SS2/17 – Remuneration,,,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss02-17---remuneration/01-06-2026,"£660,000",Monetary amount appears with threshold/trigger language.,"In line with the specific requirements of Remuneration 15.18, the PRA further expects that at least 40% of the first £660,000 and 60% of any amount in excess of £660,000 is deferred, for a period of at least four years.",true,true,"£660,000",other_threshold,high,Amount separates expected deferral ratios for variable remuneration.
cand-00037,ss,054674709234cabe,guidance_document,SS2/17 – Remuneration,,,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss02-17---remuneration/01-06-2026,"£660,000",Monetary amount appears with threshold/trigger language.,"However, firms should also consider whether the higher deferral ratio should be applied in cases of variable remuneration awarded below £660,000.",true,true,"£660,000",other_threshold,medium,Amount is referenced as the level below which higher deferral may still be considered.
cand-00038,ss,b027f922923f964b,guidance_document,SS2/23 – Supervising credit unions,,,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss02-23-supervising-credit-unions/01-06-2026,£10m,Monetary amount appears with threshold/trigger language.,Additional expectations for credit unions with more than £10m in assets 15 Investments 15 Liquidity 17 Risk management 17 Operational risk and resilience 18 12.,true,true,£10m,scope_trigger,high,Asset size triggers additional expectations for credit unions.
cand-00039,ss,b027f922923f964b,guidance_document,SS2/23 – Supervising credit unions,,,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss02-23-supervising-credit-unions/01-06-2026,£50m,Monetary amount appears with threshold/trigger language.,Additional expectations for credit unions with more than £50m in assets 18 Liquidity 18 Risk management 19 Operational risk and resilience 19 13.,true,true,£50m,scope_trigger,high,Asset size triggers additional expectations for credit unions.
